lga_code,lga_name,2011,2012,2013,2014,2015,2016
20110,Alpine (S),42.2345,42.3605,42.084,42.056,41.9895,41.9475
20260,Ararat (RC),28.315,28.3375,28.07,27.9775,28.09,28.2475
20570,Ballarat (C),390.2872,397.3556,404.2149,411.1357,419.266,427.8104
20660,Banyule (C),455.0371,457.32,460.2134,464.3611,468.3386,471.491
20740,Bass Coast (S),54.4176,55.1052,55.7676,56.9322,58.6152,60.4458
20830,Baw Baw (S),95.4514,97.5106,99.3718,101.0658,103.62,106.4316
20910,Bayside (C),211.4618,213.3824,216.249,219.8834,221.6918,224.0744
21010,Benalla (RC),30.4106,30.1994,30.118,29.9156,30.0344,30.173
21110,Boroondara (C),367.5364,370.6076,374.9328,379.7464,386.0582,391.413
21180,Brimbank (C),1110.671,1121.3546,1132.885,1146.6832,1153.9158,1160.8352
21270,Buloke (S),8.4045,8.2615,8.0808,7.9118,7.8273,7.7558
21370,Campaspe (S),51.6166,51.744,51.6474,51.632,51.6544,51.737
21450,Cardinia (S),128.9144,136.3026,142.8034,147.9476,154.7544,162.5268
21610,Casey (C),888.3588,909.976,934.6838,963.611,992.375,1020.5746
21670,Central Goldfields (S),45.2844,45.3168,45.396,45.3564,45.5652,45.8244
21750,Colac-Otway (S),58.2372,58.1112,57.8536,57.4028,57.6156,57.8928
21830,Corangamite (S),34.7088,34.3623,33.8457,33.6,33.5412,33.5181
21890,Darebin (C),972.0056,983.5588,997.4716,1011.3504,1024.1072,1044.7384
22110,East Gippsland (S),137.056,138.1728,138.8416,140.064,141.232,142.7552
22170,Frankston (C),469.26,474.3144,480.4524,486.8748,491.3496,495.1944
22250,Gannawarra (S),17.7701,17.6324,17.5338,17.2465,16.9133,16.6107
22310,Glen Eira (C),370.3104,375.9534,381.8151,388.9593,395.6364,399.735
22410,Glenelg (S),31.7584,31.6192,31.2,30.9728,30.896,30.8528
22490,Golden Plains (S),15.1664,15.576,16.1088,16.4352,16.8904,17.3712
22620,Greater Bendigo (C),306.027,310.845,315.699,320.892,326.01,331.491
22670,Greater Dandenong (C),1464.3201,1486.4136,1510.1345,1540.0354,1573.1808,1605.9039
22750,Greater Geelong (C),625.9157,632.6147,641.9237,652.2622,661.1913,671.3123
22830,Greater Shepparton (C),352.0662,355.623,357.675,360.6276,364.7829,369.3771
22910,Hepburn (S),36.575,36.7775,37.005,37.22,37.56,37.9375
22980,Hindmarsh (S),3.5148,3.4704,3.4038,3.3684,3.3306,3.2982
23110,Hobsons Bay (C),209.7504,211.86,214.5744,218.7552,221.208,224.1048
23190,Horsham (RC),72.2351,72.631,72.7679,72.8641,73.1564,73.5782
23270,Hume (C),819.1677,836.6047,860.5277,887.4493,910.5545,936.334
23350,Indigo (S),22.9755,23.064,23.04,23.115,23.2125,23.3235
23430,Kingston (C),355.9296,360.0336,363.7704,367.3896,370.4832,374.388
23670,Knox (C),247.3968,247.3472,247.6752,248.8144,250.9472,252.8272
23810,Latrobe (C),177.0912,177.5424,177.0672,176.7888,176.856,177.3672
23940,Loddon (S),29.4411,29.2266,29.0082,28.7859,28.8054,28.8561
24130,Macedon Ranges (S),77.148,78.336,79.3188,80.487,81.8946,83.2896
24210,Manningham (C),198.4631,198.9323,199.6242,201.4857,203.5733,206.0128
24250,Mansfield (S),23.829,24.15,24.51,24.621,24.891,25.176
24330,Maribyrnong (C),668.8706,684.1074,705.2538,728.5451,745.3928,773.2053
24410,Maroondah (C),418.5441,421.8864,427.1007,433.8087,437.6892,440.5869
24600,Melbourne (C),1062.5864,1117.4308,1233.4054,1295.3836,1375.3076,1455.804
24650,Melton (C),236.5503,247.6131,257.9787,268.1427,276.1332,286.7319
24780,Mildura (RC),253.9278,255.7653,257.9654,259.8764,261.2386,263.0663
24850,Mitchell (S),101.6972,104.8176,108.3063,111.6993,114.7849,118.1228
24900,Moira (S),76.6962,77.3469,77.3631,77.8491,78.2379,78.7185
24970,Monash (C),833.5215,845.6757,857.0356,869.6739,879.3653,889.4092
25060,Moonee Valley (C),392.679,397.292,402.5315,410.6795,417.648,424.837
25150,Moorabool (S),71.66,73.44,75.815,77.3075,78.955,81.05
25250,Moreland (C),755.8054,767.6928,783.6472,801.2872,816.1391,833.8722
25340,Mornington Peninsula (S),268.6878,271.494,273.861,276.84,280.5138,284.0166
25430,Mount Alexander (S),42.9048,42.9312,43.1496,43.44,43.728,44.064
25490,Moyne (S),4.851,4.8837,4.8912,4.9044,4.9248,4.9509
25620,Murrindindi (S),31.9776,32.2176,32.3472,32.6232,32.7504,32.9112
25710,Nillumbik (S),75.2592,75.3012,75.2112,75.4464,75.5004,75.708
25810,Northern Grampians (S),36.162,35.82,35.334,35.157,35.031,34.971
25900,Port Phillip (C),1488.078,1536.0129,1567.0413,1604.1285,1632.969,1653.1497
25990,Pyrenees (S),10.1355,10.1295,10.14,10.4715,10.407,10.353
26080,Queenscliffe (B),3.6828,3.6888,3.672,3.6504,3.6432,3.642
26170,South Gippsland (S),39.7704,39.2904,38.7384,38.2032,38.124,38.0856
26260,Southern Grampians (S),55.03,55.512,55.85,55.854,55.968,56.224
26350,Stonnington (C),504.1503,516.0537,525.861,540.5031,560.5053,571.8069
26430,Strathbogie (S),16.3217,16.4271,16.4866,16.6753,16.7807,16.8946
26490,Surf Coast (S),15.9978,16.488,16.9596,17.0844,17.328,17.6022
26610,Swan Hill (RC),164.8335,165.5366,164.7545,162.582,162.8348,163.3641
26670,Towong (S),10.0606,10.0487,10.0045,9.8532,9.8022,9.758
26700,Wangaratta (RC),3.092,3.112,3.12,3.12,3.116,3.12
26730,Warrnambool (C),97.9632,97.9956,97.8336,97.6212,98.118,98.676
26810,Wellington (S),94.7169,95.6159,96.3931,97.1326,97.5154,98.0055
26890,West Wimmera (S),50.4768,50.73,50.736,50.6664,50.7504,50.9604
26980,Whitehorse (C),19.711,19.3246,18.8922,18.4552,18.2574,18.0918
27070,Whittlesea (C),409.6092,414.154,420.108,425.5654,431.6468,439.2674
27170,Wodonga (RC),723.6,764.7975,806.067,841.527,872.0235,904.023
27260,Wyndham (C),79.255,80.4672,82.0974,83.8882,85.3006,86.7658
27350,Yarra (C),1666.98,1788.59,1891.11,1997.15,2097.68,2185.53
27450,Yarra Ranges (S),181.4723,186.2356,192.0776,198.8741,205.4268,212.1175
27630,Yarriambiack (S),59.5628,59.7004,59.7776,60.034,60.2156,60.3756
